project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,median_lead_time_annotator_in_s,avg_lead_time_annotator_in_s,avg_agreement_annotator
Assassin's Creed Unity,criticism-praise-developer-publisher,8,50,15655,58,16.09,21.69,100.0
Assassin's Creed Unity,criticism-praise-ideological,3,55,15655,58,16.09,21.69,100.0
Assassin's Creed Unity,criticism-praise-game-content,48,10,15655,58,16.09,21.69,100.0
Assassin's Creed Unity,is-rating-game-related,52,6,15655,58,16.09,21.69,100.0
Assassin's Creed Unity,is-review-bombing,19,15,15657,34,15.53,30.47,89.54
Assassin's Creed Unity,criticism-praise-ideological,3,31,15657,34,15.53,30.47,89.54
Assassin's Creed Unity,criticism-praise-developer-publisher,13,21,15657,34,15.53,30.47,89.54
Assassin's Creed Unity,is-rating-game-related,20,14,15657,34,15.53,30.47,89.54
Assassin's Creed Unity,criticism-praise-political,3,31,15657,34,15.53,30.47,89.54
Assassin's Creed Unity,criticism-praise-game-content,21,13,15657,34,15.53,30.47,89.54
Assassin's Creed Unity,criticism-praise-developer-publisher,6,24,15710,30,13.97,30.19,80.0
Assassin's Creed Unity,criticism-praise-ideological,7,23,15710,30,13.97,30.19,80.0
Assassin's Creed Unity,is-review-bombing,11,19,15710,30,13.97,30.19,80.0
Assassin's Creed Unity,criticism-praise-game-content,23,7,15710,30,13.97,30.19,80.0
Assassin's Creed Unity,criticism-praise-political,0,30,15710,30,13.97,30.19,80.0
Assassin's Creed Unity,is-rating-game-related,22,8,15710,30,13.97,30.19,80.0
Assassin's Creed Unity,criticism-praise-ideological,2,28,16195,30,16.19,19.37,95.19
Assassin's Creed Unity,is-review-bombing,13,17,16195,30,16.19,19.37,95.19
Assassin's Creed Unity,criticism-praise-developer-publisher,6,24,16195,30,16.19,19.37,95.19
Assassin's Creed Unity,is-rating-game-related,22,8,16195,30,16.19,19.37,95.19
Assassin's Creed Unity,criticism-praise-game-content,22,8,16195,30,16.19,19.37,95.19
Assassin's Creed Unity,criticism-praise-political,0,30,16195,30,16.19,19.37,95.19
Assassin's Creed Unity,criticism-praise-game-content,10,5,17568,15,12.86,18.12,85.19
Assassin's Creed Unity,criticism-praise-developer-publisher,3,12,17568,15,12.86,18.12,85.19
Assassin's Creed Unity,criticism-praise-ideological,0,15,17568,15,12.86,18.12,85.19
Assassin's Creed Unity,is-review-bombing,3,12,17568,15,12.86,18.12,85.19
Assassin's Creed Unity,is-rating-game-related,9,6,17568,15,12.86,18.12,85.19
Assassin's Creed Unity,criticism-praise-political,0,15,17568,15,12.86,18.12,85.19
Assassin's Creed Unity,criticism-praise-developer-publisher,1,14,17629,15,17.9,21.31,87.41
Assassin's Creed Unity,is-rating-game-related,11,4,17629,15,17.9,21.31,87.41
