project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,avg_lead_time_annotator_in_s,avg_agreement_annotator
Assassin's Creed Unity,criticism-praise-game-content,22,8,16195,30,19.37,95.56
Assassin's Creed Unity,criticism-praise-ideological,2,28,16195,30,19.37,95.56
Assassin's Creed Unity,is-rating-game-related,21,9,16195,30,19.37,95.56
Assassin's Creed Unity,criticism-praise-ideological,0,15,17568,15,18.12,92.22
Assassin's Creed Unity,is-review-bombing,3,12,17568,15,18.12,92.22
Assassin's Creed Unity,criticism-praise-political,0,15,17568,15,18.12,92.22
Assassin's Creed Unity,is-rating-game-related,9,6,17568,15,18.12,92.22
Assassin's Creed Unity,criticism-praise-game-content,11,4,17568,15,18.12,92.22
Assassin's Creed Unity,criticism-praise-developer-publisher,3,12,17568,15,18.12,92.22
Assassin's Creed Unity,is-review-bombing,2,13,17629,15,21.31,90.74
Assassin's Creed Unity,criticism-praise-political,0,15,17629,15,21.31,90.74
Assassin's Creed Unity,is-rating-game-related,11,4,17629,15,21.31,90.74
Assassin's Creed Unity,criticism-praise-developer-publisher,1,14,17629,15,21.31,90.74
Assassin's Creed Unity,criticism-praise-game-content,12,3,17629,15,21.31,90.74
Assassin's Creed Unity,criticism-praise-ideological,1,14,17629,15,21.31,90.74
Assassin's Creed Unity,criticism-praise-game-content,29,6,17750,35,33.24,85.24
Assassin's Creed Unity,criticism-praise-ideological,0,35,17750,35,33.24,85.24
Assassin's Creed Unity,is-review-bombing,9,26,17750,35,33.24,85.24
Assassin's Creed Unity,criticism-praise-political,9,26,17750,35,33.24,85.24
Assassin's Creed Unity,criticism-praise-developer-publisher,23,12,17750,35,33.24,85.24
Assassin's Creed Unity,is-rating-game-related,30,5,17750,35,33.24,85.24
Assassin's Creed Unity,criticism-praise-ideological,7,3,17758,10,67.71,100.0
Assassin's Creed Unity,criticism-praise-political,1,9,17758,10,67.71,100.0
