project,annotation_question,num_reviews_yes,num_reviews_no,median_lead_time_project_in_s,avg_lead_time_project_in_s,avg_agreement_project,highest_agreement_project,lowest_agreement_project
Ukraine-Russia-Support,is-review-bombing,220,411,18.97,28.1,83.5,100.0,44.44
Ukraine-Russia-Support,is-rating-game-related,415,216,18.97,28.1,83.5,100.0,44.44
Ukraine-Russia-Support,criticism-praise-game-content,447,184,18.97,28.1,83.5,100.0,44.44
Ukraine-Russia-Support,criticism-praise-developer-publisher,168,463,18.97,28.1,83.5,100.0,44.44
Ukraine-Russia-Support,criticism-praise-ideological,178,453,18.97,28.1,83.5,100.0,44.44
Ukraine-Russia-Support,criticism-praise-political,182,449,18.97,28.1,83.5,100.0,44.44
